task start end duration memory size
1.8524 1493276741138 1493276852317 111179 128 90
2.3617 1493276740682 1493276771081 30399 128 90
1.5937 1493276773975 1493277010225 236250 128 90
1.5876 1493276764201 1493276836742 72541 128 90
1.8503 1493276762021 1493276801521 39500 128 90
1.8613 1493276772907 1493276811968 39061 128 90
1.8583 1493276774966 1493276820401 45435 128 90
0.9395 1493276775840 1493276962365 186525 128 90
1.9707 1493276767471 1493276802410 34939 128 90
1.3907 1493276766783 1493276834757 67974 128 90
2.2103 1493277135073 1493277302514 167441 128 90
1.9662 1493276771783 1493276841399 69616 128 90
1.0799 1493276745700 1493276832698 86998 128 90
1.3363 1493276772226 1493276849337 77111 128 90
1.9609 1493276896217 1493276991857 95640 128 90
1.9605 1493276772078 1493276807062 34984 128 90
0.8322 1493276897172 1493277012494 115322 128 90
1.8578 1493276776781 1493276814461 37680 128 90
1.204 1493276792594 1493276894634 102040 128 90
2.2137 1493276898719 1493276956479 57760 128 90
1.2264 1493276784558 1493276859512 74954 128 90
1.8813 1493276781279 1493276829360 48081 128 90
1.4512 1493276801377 1493276889917 88540 128 90
1.86 1493276741573 1493276790388 48815 128 90
1.8592 1493276785461 1493276898762 113301 128 90
1.863 1493277150398 1493277258359 107961 128 90
1.4018 1493276803198 1493276861277 58079 128 90
1.1864 1493276787242 1493276880612 93370 128 90
1.2681 1493276908505 1493276964685 56180 128 90
1.8583 1493276792627 1493276835068 42441 128 90
1.2588 1493277154991 1493277259691 104700 128 90
1.8593 1493276922901 1493276958501 35600 128 90
1.2572 1493276801238 1493276848501 47263 128 90
1.2127 1493276791759 1493277006259 214500 128 90
1.9949 1493276741376 1493276790852 49476 128 90
1.9895 1493276801981 1493276900661 98680 128 90
1.8575 1493277609200 1493277680756 71556 128 100
1.1234 1493277224088 1493277323598 99510 128 100
1.8543 1493277317540 1493277350861 33321 128 100
1.861 1493277223179 1493277397237 174058 128 100
1.4177 1493277261541 1493277303202 41661 128 100
1.861 1493277342902 1493277407302 64400 128 100
1.8578 1493277225571 1493277288112 62541 128 100
1.9691 1493277222591 1493277248347 25756 128 100
1.8476 1493277280941 1493277339545 58604 128 100
1.596 1493277258538 1493277288582 30044 128 100
1.6732 1493277247118 1493277276838 29720 128 100
1.9709 1493277342778 1493277372698 29920 128 100
1.8586 1493277223217 1493277248388 25171 128 100
1.8607 1493277222598 1493277257856 35258 128 100
1.6263 1493277223308 1493277291506 68198 128 100
1.8812 1493277222590 1493277315410 92820 128 100
1.3856 1493277222670 1493277367054 144384 128 100
1.8608 1493277222679 1493277247600 24921 128 100
0.8872 1493277342721 1493277405019 62298 128 100
1.9647 1493277245221 1493277287801 42580 128 100
1.1234 1493277224104 1493277297618 73514 128 100
1.9704 1493277223103 1493277247719 24616 128 100
1.908 1493277222800 1493277289817 67017 128 100
1.6823 1493277225390 1493277463812 238422 128 100
1.9479 1493277247740 1493277282638 34898 128 100
1.8811 1493277222733 1493277258139 35406 128 100
2.2108 1493277222667 1493277305006 82339 128 100
1.8806 1493277223544 1493277249098 25554 128 100
1.9693 1493277223483 1493277320302 96819 128 100
1.2676 1493277378173 1493277432718 54545 128 100
1.8794 1493277249406 1493277282447 33041 128 100
1.903 1493277223796 1493277259522 35726 128 100
1.4502 1493277256074 1493277322971 66897 128 100
1.863 1493277222598 1493277246758 24160 128 100
1.2873 1493277512703 1493277795754 283051 128 100
1.8012 1493277226740 1493277258618 31878 128 100
1.2986 1493277222607 1493277295778 73171 128 100
1.9053 1493277342732 1493277516817 174085 128 100
1.8579 1493277249627 1493277280889 31262 128 100
1.9874 1493277247784 1493277275578 27794 128 100
1.8182 1493277222608 1493277248388 25780 128 100
1.9258 1493277222618 1493277306178 83560 128 100
1.8603 1493277223182 1493277265078 41896 128 100
1.9457 1493277222601 1493277244361 21760 128 100
1.97 1493277222674 1493277255574 32900 128 100
1.8599 1493277222777 1493277329098 106321 128 100
1.8814 1493277227148 1493277520206 293058 128 100
2.206 1493277222599 1493277271979 49380 128 100
1.9476 1493277222599 1493277265886 43287 128 100
1.4813 1493277223540 1493277280378 56838 128 100
1.8399 1493277222598 1493277268142 45544 128 100
1.8649 1493277222582 1493277469619 247037 128 100
1.0331 1493277224095 1493277281538 57443 128 100
2.3736 1493277364735 1493277409638 44903 128 100
1.8604 1493277226943 1493277274978 48035 128 100
2.3267 1493277248777 1493277317127 68350 128 100
1.9462 1493277223542 1493277254162 30620 128 100
1.9934 1493277222599 1493277313878 91279 128 100
1.1154 1493277266414 1493277353834 87420 128 100
1.8588 1493277227843 1493277315763 87920 128 100
1.8623 1493277222611 1493277259387 36776 128 100
1.0594 1493277222732 1493277280317 57585 128 100
1.8598 1493277222647 1493277249227 26580 128 100
