task start end duration memory size
14.5437 1494287522742 1494287549798 27056 128 80
14.0074 1494287449596 1494287476747 27151 128 80
13.9526 1494287474000 1494287501945 27945 128 80
13.7872 1494287502086 1494287529327 27241 128 80
14.195 1494287408525 1494287436116 27591 128 80
14.0055 1494287524098 1494287551902 27804 128 80
14.2954 1494287512068 1494287540001 27933 128 80
15.5319 1494287609834 1494287636394 26560 128 80
14.2408 1494287515965 1494287544056 28091 128 80
14.2396 1494287484680 1494287512253 27573 128 80
13.7041 1494287401793 1494287430021 28228 128 80
14.2785 1494287400381 1494287427489 27108 128 80
14.2237 1494287491967 1494287520138 28171 128 80
14.1374 1494287542942 1494287570895 27953 128 80
14.8092 1494287419072 1494287446218 27146 128 80
13.3702 1494287503318 1494287531212 27894 128 80
13.7843 1494287567354 1494287595313 27959 128 80
13.9508 1494287545166 1494287573421 28255 128 80
14.5328 1494287574990 1494287602815 27825 128 80
13.7471 1494287369754 1494287397804 28050 128 80
13.6957 1494287536183 1494287564110 27927 128 80
13.8517 1494287553562 1494287581112 27550 128 80
13.998 1494287513267 1494287540628 27361 128 80
14.3159 1494287493187 1494287521049 27862 128 80
13.8197 1494287586305 1494287613995 27690 128 80
13.2893 1494287588824 1494287617246 28422 128 80
13.5274 1494287546223 1494287574218 27995 128 80
14.3629 1494287533974 1494287561813 27839 128 80
13.6427 1494287556883 1494287585733 28850 128 80
14.3291 1494287575975 1494287604123 28148 128 80
14.3655 1494287421405 1494287448335 26930 128 80
15.1521 1494287617401 1494287642388 24987 128 80
14.4724 1494287461280 1494287488109 26829 128 80
13.7845 1494287659236 1494287686329 27093 128 90
14.35 1494287710801 1494287738497 27696 128 90
14.4847 1494287899553 1494287926412 26859 128 90
14.0327 1494287700467 1494287727689 27222 128 90
14.088 1494287702500 1494287729734 27234 128 90
15.3129 1494287648904 1494287674596 25692 128 90
14.5557 1494287723337 1494287748901 25564 128 90
14.6812 1494287648462 1494287674454 25992 128 90
13.7916 1494287659606 1494287686129 26523 128 90
13.5228 1494287658741 1494287687586 28845 128 90
13.9491 1494287732723 1494287759535 26812 128 90
14.2835 1494287711944 1494287739110 27166 128 90
14.6168 1494287890073 1494287917343 27270 128 90
14.7065 1494287713274 1494287740304 27030 128 90
13.8916 1494287690903 1494287719034 28131 128 90
14.7572 1494287837613 1494287864646 27033 128 90
14.4051 1494287721615 1494287748438 26823 128 90
13.8909 1494287669808 1494287698807 28999 128 90
14.6823 1494287681392 1494287709295 27903 128 90
14.1137 1494287658119 1494287685242 27123 128 90
14.4216 1494287679618 1494287707953 28335 128 90
13.9573 1494287670502 1494287699146 28644 128 90
13.8204 1494287857224 1494287885300 28076 128 90
13.8515 1494287692746 1494287719546 26800 128 90
14.3478 1494287692163 1494287719303 27140 128 90
15.3208 1494287646712 1494287672027 25315 128 90
14.1399 1494287669246 1494287697504 28258 128 90
14.9883 1494287670673 1494287697294 26621 128 90
14.8847 1494287680654 1494287708505 27851 128 90
15.1318 1494287744411 1494287771196 26785 128 90
13.1857 1494287774008 1494287803257 29249 128 90
12.5944 1494287765181 1494287793997 28816 128 90
12.8683 1494287794944 1494287825108 30164 128 90
15.1857 1494287648410 1494287675682 27272 128 90
14.7984 1494287669433 1494287695688 26255 128 90
14.3676 1494287722336 1494287749623 27287 128 90
14.4628 1494287877187 1494287905102 27915 128 90
14.512 1494287900594 1494287927418 26824 128 90
12.6315 1494287775695 1494287805204 29509 128 90
13.529 1494287647494 1494287676063 28569 128 90
13.632 1494287754614 1494287781926 27312 128 90
14.514 1494287805338 1494287834600 29262 128 90
12.7607 1494287775092 1494287804990 29898 128 90
13.5555 1494287859242 1494287886924 27682 128 90
14.418 1494287848108 1494287875365 27257 128 90
14.0517 1494287753031 1494287780614 27583 128 90
