date,provider,memory,lifetime
"2018-01-24T16:20:47.752405989Z","azure",,25017.3539513
"2018-02-20T16:45:34.602792342Z","bluemix","256",5.213156168
"2017-12-19T01:20:12.054304358Z","google","512",318.110020618
"2017-12-20T22:05:07.843634967Z","google","512",6610.600767009
"2017-11-11T13:05:15.251950354Z","bluemix","512",307.088861672
"2017-09-30T08:53:52.651311281Z","google","128",17745.390854765
"2018-01-14T03:50:24.157924101Z","google","1024",6909.039093709
"2017-11-22T00:30:17.044697234Z","bluemix","512",8.868574127
"2018-02-28T10:17:52.172575557Z","bluemix","128",23.230725725
"2017-09-30T18:53:58.113684606Z","google","128",69051.597265623
"2017-10-06T07:53:48.12114526Z","google","128",73839.540738104
"2017-10-06T10:25:48.347155416Z","google","2048",572402.978395595
"2018-03-05T10:32:32.917763622Z","bluemix","128",10.964060828000001
"2017-10-31T18:03:59.143273153Z","google","128",21950.913588568
"2018-02-26T00:27:25.633413824Z","bluemix","128",5.8782078989999995
"2018-02-28T05:10:49.996315262Z","bluemix","256",21.130985306
"2017-09-20T23:39:05.469874329Z","google","512",4.54196085
"2018-03-03T18:01:15.079895828Z","google","256",26696.949032821
"2017-11-27T14:15:10.141000094Z","bluemix","512",2103.453524104
"2018-02-08T21:20:12.531183628Z","bluemix","512",304.014386129
"2017-11-25T03:33:53.112358016Z","google","128",17442.388995617
"2018-01-23T11:58:51.351673374Z","google","128",3342.016036951
"2017-10-23T23:38:31.378539455Z","google","128",19815.279040204
"2018-02-26T15:03:51.020737954Z","bluemix","128",24.951866527
"2018-01-25T22:00:44.631570012Z","bluemix","256",1206.777982701
"2017-10-26T09:42:32.76731026Z","bluemix","128",601.006030082
"2018-02-28T13:56:21.992695146Z","bluemix","256",29.24946465
"2018-02-26T15:10:48.708977953Z","bluemix","512",39.022936704
"2017-11-23T00:10:15.835978083Z","bluemix","512",9.179702487
"2018-01-16T07:48:11.994295537Z","google","128",6.908050923
"2018-03-06T22:02:14.823400919Z","bluemix","128",274.711403501
"2018-02-26T12:35:11.617089266Z","bluemix","512",18302.081432053
"2017-10-26T14:57:34.557590388Z","bluemix","128",18601.436260204
"2018-01-29T07:12:41.481997569Z","bluemix","128",5.401969464
"2018-03-04T16:12:33.398975146Z","bluemix","128",592.819250001
"2018-03-05T02:35:14.47830743Z","bluemix","512",6.704783709
"2017-12-19T04:15:46.586387139Z","google","2048",6.334271237
"2018-01-23T07:46:33.624848299Z","google","256",8131.792332315
"2017-12-12T13:40:23.98500273Z","google","1024",488407.802539908
"2017-11-05T08:08:53.502573721Z","google","128",26747.358478368
"2018-02-20T16:57:18.56652705Z","bluemix","128",305.94569458
"2017-09-22T06:13:04.436069533Z","google","128",4.97427232
"2018-01-23T08:00:59.395714463Z","google","2048",7214.557605009
"2018-03-01T18:10:04.7885946Z","google","512",53173.943419897
"2018-02-05T02:32:33.708045333Z","bluemix","128",304.210738545
"2018-02-07T07:20:14.899244546Z","bluemix","512",5.351500762
"2017-09-27T08:16:27.997944356Z","google","256",42926.697534592
"2018-02-24T06:52:26.0370119Z","bluemix","128",8.648214837
"2017-11-02T23:42:38.768798908Z","bluemix","128",5.312684339
"2018-01-22T17:15:26.30781004Z","google","1024",23112.792319393
"2018-02-06T19:05:14.29531565Z","bluemix","512",5.61854339
"2018-02-02T17:10:41.245108136Z","bluemix","256",305.939884486
"2017-11-18T17:32:37.522888317Z","bluemix","128",5.929408323
"2017-12-01T14:50:11.372695261Z","bluemix","512",9304.9216502
"2017-12-11T08:22:30.801280557Z","bluemix","128",5.997336428
